model,accuracy,precision,recall,f1_score,roc_auc_score,type
SVC,0.9033888888888889,0.99003367003367,0.8153283052351376,0.8942278450215925,0.9035457198482011,train
SVC,0.8155,0.8041543026706232,0.8262195121951219,0.8150375939849623,0.8156688112156713,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
NaiveBayes,0.82,0.934155141310884,0.6892191659272404,0.7932090885882053,0.8202329133287137,train
NaiveBayes,0.784,0.822429906542056,0.7154471544715447,0.7652173913043477,0.7829204276294731,test
MLP,0.9148333333333334,0.9939273927392739,0.8350709849157054,0.9076005062985957,0.9149753856012187,train
MLP,0.708,0.6317523056653491,0.9745934959349594,0.7665867306155076,0.7121983227706292,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
LogisticRegression,0.8978888888888888,0.976120986999204,0.8161047027506655,0.8889694333695783,0.89803454193633,train
LogisticRegression,0.791,0.723186119873817,0.931910569105691,0.8143872113676731,0.7932190640804044,test
SVC,0.8598333333333333,0.9673240247588887,0.7453416149068323,0.8419470024431497,0.8600372366608962,train
SVC,0.846,0.8806306306306306,0.7947154471544715,0.8354700854700854,0.8451923692465271,test
NaiveBayes,0.8345555555555556,0.952352412346419,0.7049689440993789,0.8101975780752073,0.8347863420407847,train
NaiveBayes,0.802,0.8387096774193549,0.7398373983739838,0.7861771058315336,0.8010210613917162,test
MLP,0.8835,0.97553264604811,0.7871561668145519,0.8712786200969861,0.88367158296204,train
MLP,0.8505,0.8702702702702703,0.818089430894309,0.8433734939759037,0.8499895973369183,test
XGBClassifier,0.9001111111111111,0.9762470308788599,0.8205412599822538,0.8916475834639026,0.9002528205521243,train
XGBClassifier,0.855,0.8715203426124197,0.8272357723577236,0.8488008342022941,0.8545627680686255,test
LogisticRegression,0.7783888888888889,0.7417989417989418,0.8552573203194321,0.7944979650713514,0.7782519905248098,train
LogisticRegression,0.7945,0.753315649867374,0.8658536585365854,0.8056737588652482,0.7956236796619935,test
XGBClassifier,0.9001111111111111,0.9762470308788599,0.8205412599822538,0.8916475834639026,0.9002528205521243,train
XGBClassifier,0.855,0.8715203426124197,0.8272357723577236,0.8488008342022941,0.8545627680686255,test
SVC,0.8977777777777778,0.988562091503268,0.8052351375332741,0.8875305623471882,0.8979425910284359,train
SVC,0.816,0.8073852295409182,0.8221544715447154,0.8147029204431017,0.8160969208117279,test
XGBClassifier,0.9127222222222222,0.9873020028799581,0.8365128660159716,0.9056739717802461,0.9128579468103011,train
XGBClassifier,0.731,0.6533700137551581,0.9654471544715447,0.7793273174733388,0.7346920811727802,test
NaiveBayes,0.7927777777777778,1.0,0.5862910381543922,0.7391973150608306,0.7931455190771961,train
NaiveBayes,0.7975,0.8814229249011858,0.6798780487804879,0.7676419965576593,0.7956476858075668,test
MLP,0.9061111111111111,0.9900990099009901,0.8207630878438332,0.897513644633111,0.906263111152549,train
MLP,0.737,0.657496561210454,0.9715447154471545,0.7842493847415916,0.7406936175660969,test
XGBClassifier,0.9127222222222222,0.9873020028799581,0.8365128660159716,0.9056739717802461,0.9128579468103011,train
XGBClassifier,0.731,0.6533700137551581,0.9654471544715447,0.7793273174733388,0.7346920811727802,test
LogisticRegression,0.8993888888888889,0.986627043090639,0.8101153504880213,0.8897009562092698,0.8995478800525593,train
LogisticRegression,0.775,0.7007518796992481,0.9471544715447154,0.8055315471045807,0.7777110940400743,test
SVC,0.9104444444444444,0.9932054356514788,0.8268633540372671,0.9024331194770607,0.9105932976775828,train
SVC,0.76,0.7230088495575221,0.8302845528455285,0.772942289498581,0.7611068433518982,test
XGBClassifier,0.9171666666666667,0.9899726526891522,0.843167701863354,0.910691823899371,0.9172984546716592,train
XGBClassifier,0.7235,0.6461016949152543,0.9684959349593496,0.7751118340788938,0.7273582037001473,test
NaiveBayes,0.8533888888888889,0.9316366589955327,0.7633096716947648,0.8391147960738888,0.8535493149212916,train
NaiveBayes,0.7375,0.7622857142857142,0.6778455284552846,0.7175901022054868,0.7365605595032327,test
MLP,0.9166666666666666,0.9904724614983034,0.8417258207630879,0.9100611584122797,0.9168001321090596,train
MLP,0.8255,0.8165503489531406,0.8323170731707317,0.8243583291394061,0.8256073554830036,test
XGBClassifier,0.9171666666666667,0.9899726526891522,0.843167701863354,0.910691823899371,0.9172984546716592,train
XGBClassifier,0.7235,0.6461016949152543,0.9684959349593496,0.7751118340788938,0.7273582037001473,test
LogisticRegression,0.9030555555555555,0.9795541485292177,0.8236468500443656,0.8948605169608965,0.9031969780052639,train
LogisticRegression,0.848,0.8828828828828829,0.7967479674796748,0.8376068376068375,0.8471928813776327,test
SVC,0.9153472222222222,0.9911735861392612,0.8388435468252871,0.9086686146699633,0.9156566081637243,train
SVC,0.794375,0.7391774891774892,0.8858625162127107,0.8058997050147493,0.7975754076841599,test
XGBClassifier,0.9436805555555555,0.9920269855872432,0.8950062249273758,0.9410224710930114,0.9438773977795434,train
XGBClassifier,0.606875,0.5519005847953217,0.9792477302204928,0.7059373539036934,0.619901307812297,test
NaiveBayes,0.8595833333333334,0.9724187987661042,0.7413196846036796,0.8412872841444269,0.860061599378956,train
NaiveBayes,0.58125,0.5399209486166008,0.8858625162127107,0.6709233791748527,0.5919059263813855,test
MLP,0.9490277777777778,0.9936160510715915,0.9042744501314152,0.9468424101969873,0.9492087632054371,train
MLP,0.654375,0.5872,0.9520103761348897,0.7263730826323603,0.6647868527236571,test
XGBClassifier,0.9436805555555555,0.9920269855872432,0.8950062249273758,0.9410224710930114,0.9438773977795434,train
XGBClassifier,0.606875,0.5519005847953217,0.9792477302204928,0.7059373539036934,0.619901307812297,test
LogisticRegression,0.9051388888888889,0.9715296766929388,0.8355235855581685,0.8984084486092518,0.9054204177965156,train
LogisticRegression,0.8025,0.7382198952879581,0.914396887159533,0.816917728852839,0.806414366378319,test
SVC,0.9033888888888889,0.99003367003367,0.8153283052351376,0.8942278450215925,0.9035457198482011,train
SVC,0.8155,0.8041543026706232,0.8262195121951219,0.8150375939849623,0.8156688112156713,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
NaiveBayes,0.82,0.934155141310884,0.6892191659272404,0.7932090885882053,0.8202329133287137,train
NaiveBayes,0.784,0.822429906542056,0.7154471544715447,0.7652173913043477,0.7829204276294731,test
MLP,0.9148333333333334,0.9939273927392739,0.8350709849157054,0.9076005062985957,0.9149753856012187,train
MLP,0.708,0.6317523056653491,0.9745934959349594,0.7665867306155076,0.7121983227706292,test
XGBClassifier,0.9163888888888889,0.9898265292813356,0.8417258207630879,0.9097884073607864,0.9165218596246428,train
XGBClassifier,0.7175,0.641077441077441,0.967479674796748,0.7711624139327663,0.7214366877920748,test
LogisticRegression,0.8980555555555556,0.9761304866728551,0.8164374445430346,0.8891707434921784,0.8982009128325146,train
LogisticRegression,0.79,0.7220472440944882,0.931910569105691,0.8136645962732918,0.7922348121119006,test
